time,type_of_advice_or_caution,type_of_advice_or_caution:confidence,what,when,where,category,text_no_rt,tweet,type,type_of_advice_or_caution_gold,user
10/31/2012 20:32,Other,0.6559,"Limited train service resuming
Limited train service resuming
Limited train service resuming","after superstorm Sandy
after superstorm Sandy
after superstorm Sandy","NYC
NYC
NYC",Informative (Indirect),Limited train service resuming in NYC after superstorm Sandy - CBS News: National GeographicLimited tra... http://t.co/t1j1hPKO #newyork,Limited train service resuming in NYC after superstorm Sandy - CBS News: National GeographicLimited tra... http://t.co/t1j1hPKO #newyork,Caution and advice,,NYNewYorkCity
11/1/2012 14:44,A hurricane sighting has been reported,1,"wind is seriously intense
wind is seriously intense
wind is seriously intense","right now
right now
right now","NYC
NYC
NYC",Informative (Direct),The wind is seriously intense right now!!! Time to get inside people. I love an adventure for a photo but let's be safe. #sandy #NYC,The wind is seriously intense right now!!! Time to get inside people. I love an adventure for a photo but let's be safe. #sandy #NYC,Caution and advice,,wyattgallery
11/2/2012 14:27,Other,1,"Mayor Michael Bloomberg to hold press conference
Mayor Michael Bloomberg to hold press conference on #Sandy
press conference","momentarily
momentarily
n/A","NYC
NYC
NYC",Informative (Indirect),NYC Mayor Michael Bloomberg to hold press conference on #Sandy momentarily. Watch Live: http://t.co/8fIXrOiY,RT @thedailybeast: NYC Mayor Michael Bloomberg to hold press conference on #Sandy momentarily. Watch Live: http://t.co/8fIXrOiY,Caution and advice,,asrulsidiq
11/2/2012 19:29,Other,1,"JFK Newark airports reopen
JFK Newark airports reopen on limited operational schedule
limited operational schedule","n/a
N/A
n/a","JFK Newark LaGuardia
NYC
JFK Newark airports",Informative (Indirect),JFK Newark airports reopen on limited operational schedule after #Sandy http://t.co/lzW7vRB2 &gt; LaGuardia still closed #NYC,JFK Newark airports reopen on limited operational schedule after #Sandy http://t.co/lzW7vRB2 &gt; LaGuardia still closed #NYC,Caution and advice,,Global_Montreal
11/2/2012 19:34,Other,1,"Hurricane app can help you recover from #Sandy
Hurricane app can help you recover
Hurricane app can help you recover from #Sandy","N/A

n/a",NYC,Informative (Indirect),#RedCross Hurricane app can help you recover from #Sandy. Go to the Prepare tab then hit  http://t.co/fYMpaDYc,RT @RedCross: #RedCross Hurricane app can help you recover from #Sandy. Go to the Prepare tab then hit ÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³ÃƒÆ’Ã‚Â¬AfterÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³Ãƒâ€šÃ‚Â. http://t.co/fYMpaDYc,Caution and advice,,PiedmontHousing
11/2/2012 19:49,Other,1,"plan to resume some NYC flights
plan to resume some NYC flights
plan to resume some NYC flights","Tuesday
Tuesday
on Tuesday","NYC
NYC
NYC",Informative (Indirect),Delta has what seems like a very optimistic plan to resume some NYC flights on Tuesday: http://t.co/A2mjbStn,Delta has what seems like a very optimistic plan to resume some NYC flights on Tuesday: http://t.co/A2mjbStn,Caution and advice,,NYCAviation
11/2/2012 20:18,Other,1,"Mayor Bloomberg Updates NYC
Mayor Bloomberg Updates NYC
Updates NYC On #Sandy","LIVESTREAM NOW
NOW
NOW","NYC
NYC
NYC",Informative (Indirect),Mayor Bloomberg Updates NYC On #Sandy http://t.co/45AjuROW LIVESTREAM NOW,Mayor Bloomberg Updates NYC On #Sandy http://t.co/45AjuROW LIVESTREAM NOW,Caution and advice,,DNDailyPolitics
11/2/2012 21:09,Other,1,"Mayor Michael Bloomberg updates residents on Hurricane
Mayor Michael Bloomberg updates residents on Hurricane
Hurricane #Sandy
Mayor Michael Bloomberg updates residents on Hurricane","N/A
N/A
N/A
LIVE",NYC,Informative (Indirect),LIVE VIDEO: NYC Mayor Michael Bloomberg updates residents on Hurricane #Sandy http://t.co/XtzsBslf,RT @NBCNews: LIVE VIDEO: NYC Mayor Michael Bloomberg updates residents on Hurricane #Sandy http://t.co/XtzsBslf,Caution and advice,,Cubfnatic
11/3/2012 19:56,Other,1,"prevent mold
Start cleaning up quickly after hurricane flooding
cleaning up quickly after hurricane flooding","after hurricane flooding
N/A
quickly",NYC,Informative (Indirect),Start cleaning up quickly after hurricane flooding to prevent mold. http://t.co/WGgfSimu,Start cleaning up quickly after hurricane flooding to prevent mold. http://t.co/WGgfSimu,Caution and advice,,CalorieLab
11/3/2012 20:40,Other,0.6355,"Sandy Schedule Update
Storm Sandy Schedule Update
Storm Sandy Schedule Update","N/A
N/A
aftermath of this sto...",NYC,Informative (Indirect),Updated Website! Storm Sandy Schedule Update - We've been praying that you are all safe in the aftermath of this sto... http://t.co/21Kq3Dkx,Updated Website! Storm Sandy Schedule Update - We've been praying that you are all safe in the aftermath of this storm http://t.co/21Kq3Dkx,Caution and advice,,DixHillsChurch
11/4/2012 20:14,Other,1,"outage clusters
Biggest outage clusters get repaired first
outage clusters get repaired first.","n/a
N/A
n/a","NYC
NYC
Westchester #NYC",Informative (Indirect),Biggest outage clusters get repaired first. Smaller clusters to follow. #Westchester #NYC #Sandy #ConEdison,RT @ConEdison: Biggest outage clusters get repaired first. Smaller clusters to follow. #Westchester #NYC #Sandy #ConEdison,Caution and advice,,KelleyChubb
11/5/2012 20:14,Other,1,"U.S. stock markets reopen
stock markets to reopen Wednesday
U.S. stock markets to reopen","Wednesday
Wednesday
Wednesday",NYC,Informative (Indirect),WireUpdate U.S. stock markets to reopen Wednesday after Sandy kills 43: NEW YORK CITY (BNO NEWS) -- Major stock ... http://t.co/1QJ8VCRv,WireUpdate U.S. stock markets to reopen Wednesday after Sandy kills 43: NEW YORK CITY (BNO NEWS) -- Major stock ... http://t.co/1QJ8VCRv,Caution and advice,,bnogr
